EIN GRAUER KNECHT;EIN RÜCKKEHRENDER CHERUSKER;1
EIN GRAUER KNECHT;INGOMARS TRABANTEN;1
EIN GRAUER KNECHT;EINER DER TRABANTEN;1
EIN GRAUER KNECHT;ERSTER BRUKTERER;1
EIN GRAUER KNECHT;FRITZE;1
EIN GRAUER KNECHT;EINIGE IN SEINEM HEER;1
EIN GRAUER KNECHT;STIMMEN;1
EIN GRAUER KNECHT;GRÜTTEMEIER;1
EIN GRAUER KNECHT;VIELE DEUTSCHE;1
EIN GRAUER KNECHT;EINER SEINES GEFOLGS;1
ARNOLD;ERSTER;1
ARNOLD;ZWEITER;1
ARNOLD;THUSNELDA;1
ARNOLD;VARUS;1
ARNOLD;EINER;1
ARNOLD;HERMANN;1
ARNOLD;EIN ALTER CHERUSKER;1
ARNOLD;DER FELDARZT;1
ARNOLD;FELDARZT;1
ARNOLD;EIN VEXILLAR;1
ARNOLD;ZWEITER VEXILLAR;1
ARNOLD;ERSTER VEXILLAR;1
ARNOLD;VIELE CHERUSKER;1
ARNOLD;INGOMAR;1
ARNOLD;EIN ALTER;1
ARNOLD;DER ALTE;1
ARNOLD;EIN GRAUER KNECHT;1
ARNOLD;DIE DEUTSCHEN;1
ARNOLD;EGGIUS;1
ARNOLD;DER MARSENHÄUPLING;1
ARNOLD;EIN CHERUSKISCHER REITER;1
ARNOLD;EIN RÜCKKEHRENDER CHERUSKER;1
ARNOLD;DAS DEUTSCHE HEER;1
ARNOLD;INGOMARS TRABANTEN;1
ARNOLD;EINER DER TRABANTEN;1
ARNOLD;DIE TENKTERER;1
ARNOLD;DIE BRUKTERER;1
ARNOLD;DER HÄUPTLING DER BRUKTERER;1
ARNOLD;ERSTER BRUKTERER;1
ARNOLD;DRITTER;1
ARNOLD;EIN CHERUSKER;1
ARNOLD;BARTOLD;1
ARNOLD;FRITZE;1
ARNOLD;DAS HEER;1
ARNOLD;EINIGE IN SEINEM HEER;1
ARNOLD;STIMMEN;1
ARNOLD;GRÜTTEMEIER;1
ARNOLD;VIELE DEUTSCHE;1
ARNOLD;EINER SEINES GEFOLGS;1
DIE DEUTSCHEN;ERSTER;1
DIE DEUTSCHEN;ZWEITER;1
DIE DEUTSCHEN;THUSNELDA;1
DIE DEUTSCHEN;VARUS;1
DIE DEUTSCHEN;EINER;1
DIE DEUTSCHEN;HERMANN;1
DIE DEUTSCHEN;EIN ALTER CHERUSKER;1
DIE DEUTSCHEN;FELDARZT;1
DIE DEUTSCHEN;EIN VEXILLAR;1
DIE DEUTSCHEN;ZWEITER VEXILLAR;1
DIE DEUTSCHEN;ERSTER VEXILLAR;1
DIE DEUTSCHEN;VIELE CHERUSKER;1
DIE DEUTSCHEN;INGOMAR;1
DIE DEUTSCHEN;EIN ALTER;1
DIE DEUTSCHEN;EIN GRAUER KNECHT;1
DIE DEUTSCHEN;EGGIUS;1
DIE DEUTSCHEN;EIN CHERUSKISCHER REITER;1
