Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1660_Gryphius,_Andreas_-_Verlibtes_Gespenste_-_Die_gelibte_Dornrose;32;23;11.44;0.37;1.77
1662_Mitternacht,_Johann_Sebastian_-_Der_unglückselige_Soldat;84;35;7.81;0.09;2.73
1665_Lohenstein,_Daniel_Casper_von_-_Agrippina;39;38;18.56;0.49;1.51
1665_Lohenstein,_Daniel_Casper_von_-_Epicharis;72;71;34.0;0.48;1.52
1665_Lohenstein,_Daniel_Casper_von_-_Sophonisbe;57;52;24.81;0.44;1.56
1668_Molière_-_Der_Geizige;12;11;6.83;0.62;1.38
1669_Hallmann,_Johann_Christian_-_Mariamne;66;65;37.42;0.58;1.42
1669_Haugwitz,_August_Adolph_von_-_Schuldige_Unschuld_oder_Maria_Stuarda;38;34;19.58;0.53;1.5
1671_Hallmann,_Johann_Christian_-_Sophia;77;76;37.27;0.49;1.51
1673_Lohenstein,_Daniel_Casper_von_-_Ibrahim_Sultan;67;66;26.99;0.41;1.59
1673_Molière_-_Der_eingebildete_Kranke;32;11;5.06;0.16;1.39
1677_Racine,_Jean_Baptiste_-_Phädra;8;6;3.75;0.54;1.57
1679_Weise,_Christian_-_Bäurischer_Machiavellus;54;27;21.7;0.41;1.17
1682_Weise,_Christian_-_Masaniello;70;52;12.94;0.19;1.91
1686_Weise,_Christian_-_König_Wentzel;44;36;13.5;0.31;1.82
1695_Reuter,_Christian_-_L'Honnête_Femme_oder_die_Ehrliche_Frau_zu_Plißine;16;14;7.88;0.53;1.49
1696_Reuter,_Christian_-_Der_ehrlichen_Frau_Schlampampe_Krankheit_und_Tod;18;17;9.56;0.56;1.44
1696_Weise,_Christian_-_Vom_verfolgten_Lateiner;13;12;12.0;1.0;1.0
1699_Hallmann,_Johann_Christian_-_Liberata;20;11;6.2;0.33;1.46
1699_Stranitzky,_Joseph_Anton_-_Die_Enthauptung_des_weltberühmten_Wohlredners_Ciceronis;17;14;9.29;0.58;1.45
1699_Stranitzky,_Joseph_Anton_-_Türckisch-bestraffter_Hochmuth;26;16;7.69;0.31;1.97
1700_Reuter,_Christian_-_Graf_Ehrenfried;34;27;9.12;0.28;1.77
1700_Weise,_Christian_-_Der_niederländische_Bauer;50;28;7.84;0.16;1.86
1711_Bostel,_Lukas_von_-_Der_hochmütige,_gestürzte_und_wieder_erhabene_Croesus;24;17;10.67;0.46;1.48
1725_Praetorius,_Johann_Philipp_-_Pimpinone_oder_Die_ungleiche_Heirat;4;3;3.0;1.0;1.0
