;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
EINE ALTE PUTZHÄNDLERIN;0.39120162932790226;41.33333333333333;{'closeness': 58, 'degree': 58, 'betweenness': 36};21;0.0008624072744675763
CAMBRONNE;0.5108510638297873;6.666666666666666;{'closeness': 5, 'degree': 6, 'betweenness': 11};49;0.0632362633352728
GARDEMUSIK;0.3686756238003839;111.5;{'closeness': 96, 'degree': 83, 'betweenness': 124};17;0.0
EIN ANKOMMENDER;0.4139655172413793;95.83333333333334;{'closeness': 49, 'degree': 32, 'betweenness': 125};26;0.0
EIN ANDERER OFFIZIER;0.44669767441860464;62.16666666666667;{'closeness': 17, 'degree': 45, 'betweenness': 80};25;0.0
FÜNFTER JÄGER;0.3524403669724771;91.83333333333334;{'closeness': 114, 'degree': 110, 'betweenness': 84};12;0.0
EIN KRÄMER;0.4139655172413793;97.5;{'closeness': 50, 'degree': 33, 'betweenness': 127};26;0.0
EIN HAUPTMANN DER HANNOVERISCHEN SCHARFSCHÜTZEN;0.32336700336700336;125.5;{'closeness': 148, 'degree': 99, 'betweenness': 128};16;0.0
EINE ANDERE ORDONNANZ;0.3758904109589041;121.16666666666666;{'closeness': 86, 'degree': 131, 'betweenness': 129};11;0.0
OFFIZIER DER POLNISCHEN LANZENREITER;0.3306024096385542;130.0;{'closeness': 134, 'degree': 132, 'betweenness': 130};11;0.0
ZEITUNGSVERBREITER;0.3672657743785851;133.16666666666669;{'closeness': 103, 'degree': 178, 'betweenness': 131};7;0.0
EIN ZWEITER BERLINER FREIWILLIGER;0.3048888888888889;145.33333333333331;{'closeness': 171, 'degree': 179, 'betweenness': 132};7;0.0
JAMES;0.32336700336700336;129.16666666666666;{'closeness': 149, 'degree': 100, 'betweenness': 133};16;0.0
EIN NEBENSTEHENDER;0.4139655172413793;102.5;{'closeness': 51, 'degree': 34, 'betweenness': 134};26;0.0
ENGLISCHE REITEREI;0.38186878727634194;128.16666666666666;{'closeness': 77, 'degree': 158, 'betweenness': 135};9;0.0
MONSIEUR;0.29103030303030303;146.66666666666669;{'closeness': 183, 'degree': 159, 'betweenness': 136};9;0.0
EIN SERGEANT DER ENGLISCHEN JÄGER;0.32336700336700336;132.16666666666669;{'closeness': 150, 'degree': 101, 'betweenness': 137};16;0.0
DIE HUSAREN;0.3048888888888889;149.66666666666669;{'closeness': 172, 'degree': 180, 'betweenness': 138};7;0.0
EINE DAME;0.3154022988505747;150.83333333333331;{'closeness': 167, 'degree': 188, 'betweenness': 139};6;0.0
EIN ANDERER OFFIZIER DER GARDEGRENADIERE ZU PFERDE;0.3686756238003839;122.5;{'closeness': 97, 'degree': 84, 'betweenness': 140};17;0.0
